pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad
1.861,6.99226,1910.0,0.853585,5250.0,0.96
1.585,5.74,1756.0,0.85359159,5259.0,0.82
2.28,4.8,795.0,0.853585,5256.0,0.86
2.28,4.73,795.0,0.85359165,5256.0,0.86
1.58,4.6,795.0,0.854,5313.0,0.84
1.528,6.056,795.0,0.8535,5250.0,0.95
1.68,21.0,795.0,0.853585,5275.0,0.87
2.28,13.289,795.0,3.697,5250.0,0.95
2.28,8.4,795.0,3.698,5256.0,0.86
2.28,13.56,795.0,3.7,5256.0,0.86
2.28,17.142,795.0,8.966,5250.0,0.95
6.389,69.28694,795.0,6.212381,5080.0,0.77
6.39,69.92,795.0,6.21229,5080.0,0.77
7.981,68.65128,922.0,6.21229,5080.0,0.9
6.938,69.28694,870.0,6.212445,5614.0,0.8
11.77,266.97,795.0,95.2738,5625.0,0.94
11.949,268.88418,795.0,95.272656,5625.0,0.96
2.28,232.01474,795.0,95.272725,5614.0,0.95
11.624,262.52758,413.0,95.2738,5625.0,0.94
11.949,266.9772,420.0,95.272656,5625.0,0.96
2.28,232.01474,795.0,6.7183678,5970.0,0.79
6.389,47.6745,938.0,6.71837,5970.0,0.79
2.28,3823.2733,795.0,4098.1,5614.0,0.95
2.28,9057.77,795.0,246.36,5614.0,0.95
2.28,3496.0,795.0,10.50682565,5614.0,0.27
30.264,3496.13,2200.0,10.50682565,4371.0,1.37
2.28,24.27,877.0,18.57,6196.0,1.26
2.28,9.6,1239.0,6.584,6196.0,1.26
2.28,3.35,1632.0,2.882,6196.0,1.26
2.28,4.13,1314.0,5.516,6196.0,1.26
2.28,138.89171,1000.0,5.2072,6500.0,1.78
2.28,2.58,854.0,6.6732,5138.0,0.91
2.28,2.58,854.0,6.6736,5614.0,0.95
2.28,12.2,795.0,3.4982,6400.0,1.38
2.28,1995.88832,795.0,8693.0,5614.0,0.95
2.28,1922.79,795.0,10220.0,5614.0,0.95
5.7,232.01474,850.0,8.138268,5428.0,0.96
5.63,413.179,795.0,8.1387,5542.0,0.87
6.496,232.01474,837.0,8.13822434,5414.0,0.95
1.047,232.01474,795.0,6.7987,3648.0,0.28
1.87,232.01474,795.0,28.1656,5614.0,0.95
2.2,232.01474,795.0,28.1696,5614.0,0.37
1.5,232.01474,795.0,0.72091,5633.0,0.94
0.692,232.01474,795.0,2.13174,5614.0,0.95
1.406,232.01474,795.0,0.877183,5705.0,0.93
1.3,232.01474,795.0,0.877214,5820.0,0.93
1.2,232.01474,1874.0,0.87703,5711.17,0.99
1.22,232.01474,795.0,3.80464,5614.0,0.95
1.03,232.01474,795.0,2.71578,5614.0,0.95
0.908,232.01474,795.0,2.0478,4520.0,0.66
1.48,232.01474,795.0,3.96165,5614.0,0.63
1.0,232.01474,795.0,3.96151,5614.0,0.95
1.41,232.01474,795.0,4.16888,5614.0,0.63
1.04,232.01474,795.0,4.1698,5053.0,0.63
1.1,232.01474,795.0,4.16959,5614.0,0.95
1.31,232.01474,961.0,8.050722,5502.7,0.83
1.62,232.01474,795.0,8.0516,5614.0,0.9
1.18,232.01474,795.0,8.0468,5614.0,0.95
1.7,232.01474,795.0,4.50756,5614.0,0.95
1.44,232.01474,795.0,4.50717,5614.0,0.82
1.35,232.01474,795.0,0.9116567,5648.0,0.94
1.4,232.01474,795.0,0.911724,5724.0,1.1
1.16,232.01474,795.0,0.911618,5614.0,0.82
2.6,232.01474,795.0,14.647531,5724.0,1.1
4.0,232.01474,795.0,14.637,6438.0,1.5
2.52,232.01474,795.0,14.6435,5614.0,0.82
2.94,232.01474,795.0,14.641541,5648.0,0.94
1.01,232.01474,795.0,2.87814,5614.0,0.95
1.7,232.01474,795.0,5.2986,4114.0,0.5
3.32,232.01474,795.0,5.29853,5614.0,0.67
1.62,232.01474,795.0,5.29711,5614.0,0.95
1.45,232.01474,795.0,0.35490972,3893.0,0.57
1.2,232.01474,795.0,0.354884,4114.0,0.5
2.0,232.01474,795.0,2.25558,5614.0,0.37
1.0,232.01474,795.0,2.255436,3297.0,0.25
0.9,232.01474,795.0,2.25372,5614.0,0.95
0.96,232.01474,795.0,1.58252,5614.0,0.95
1.22,232.01474,795.0,1.58316,5614.0,0.67
2.094,232.01474,795.0,17.515472,4752.0,0.76
2.63,232.01474,795.0,17.501662,4749.0,0.73
2.15,232.01474,795.0,17.5125,5614.0,0.67
2.18,232.01474,795.0,21.1686,5614.0,0.64
2.28,232.01474,795.0,21.17623917,3811.0,0.6
1.98,232.01474,795.0,21.169861,4148.21,0.57
2.28,232.01474,795.0,21.1595,3811.0,0.6
2.2,232.01474,795.0,21.169619,3880.0,0.59
1.92,232.01474,431.0,21.1701963,4057.0,0.58
2.28,232.01474,795.0,19.491,6128.0,1.36
5.76,232.01474,817.0,19.49221,6069.0,1.39
5.96,232.01474,795.0,19.49183,5614.0,1.4
6.0,232.01474,795.0,19.492132,5614.0,1.48
5.507,232.01474,662.0,19.4921473,6128.0,1.36
6.8,232.01474,795.0,19.491965,6320.0,1.49
5.847,232.01474,795.0,19.491795,6046.0,1.41
6.12,27.0,886.0,19.49213,6025.0,1.38
2.28,232.01474,795.0,19.50735025,6128.0,1.36
1.83,232.01474,795.0,2.28896,5614.0,0.75
1.48,232.01474,1149.0,2.289363,5171.0,0.8
1.323,232.01474,795.0,2.28943,5614.0,0.95
2.29,232.01474,795.0,5.21378,5614.0,0.75
2.28,232.01474,795.0,5.213,5008.0,0.78
2.27,232.01474,866.0,5.213965,5171.0,0.8
2.17,232.01474,795.0,18.0983,5614.0,0.95
2.21,232.01474,795.0,18.0971,5614.0,1.22
1.6,232.01474,795.0,34.885,5614.0,0.95
1.12,232.01474,795.0,15.2841,5614.0,0.95
1.26,232.01474,756.0,15.28078,6004.0,0.98
1.39,232.01474,795.0,15.2841,5614.0,0.98
2.28,232.01474,795.0,23.226,6055.0,0.95
2.28,232.01474,795.0,23.24110566,6055.0,0.95
2.31,232.01474,795.0,23.2259,5614.0,0.98
2.32,232.01474,658.0,23.228555,6004.0,0.98
2.3,232.01474,795.0,23.226,5614.0,0.95
2.245,232.01474,795.0,23.226001,5928.0,0.95
1.2,232.01474,795.0,0.578657,5765.0,0.93
2.67,232.01474,795.0,11.81387,5614.0,0.95
2.3,232.01474,795.0,11.811437,5765.0,0.93
2.28,232.01474,795.0,13.60697954,4581.0,0.67
2.28,232.01474,795.0,13.603,4581.0,0.67
2.586,232.01474,536.0,13.603,4684.0,0.67
2.69,232.01474,316.0,65.55,4684.0,0.67
0.99,232.01474,795.0,0.762406,5620.0,0.89
1.73,232.01474,795.0,0.705386,5614.0,1.01
1.6,232.01474,795.0,0.70531,5499.0,1.0
1.48,232.01474,795.0,0.70531,5614.0,0.95
